13C,1H,Intensity
102.16999816894501,4.8899998664856,8042.07861328125
76.4599990844727,3.43415474891663,10728.3544921875
75.69000244140629,3.4524886608123797,8217.021484375
75.5500030517578,3.2774889469146697,9897.5654296875
71.02000427246091,3.41148996353149,4376.31005859375
70.4700012207031,3.36314058303833,5323.1181640625
70.16000366210939,3.41975212097168,8310.3291015625
70.09999847412111,3.48369264602661,5734.6123046875
68.3000030517578,3.9418740272522004,-6017.26416015625
68.3000030517578,3.7912034988403303,-7367.166015625
62.6100006103516,3.9221179485321005,-5700.578125
62.6100006103516,3.6975493431091295,-5259.1328125
62.0099983215332,3.83098268508911,-9722.73828125
62.0099983215332,3.65098285675049,-8217.021484375
59.6099967956543,3.20346140861511,6186.80517578125
55.0900001525879,2.6643035411834703,8042.27197265625
